

episode,total_reward,steps
1,-510.5799999999999,200
2,-384.9999999999999,200
3,-249.14,200
4,-569.0100000000002,200
5,-462.6599999999998,200
6,-589.4499999999999,200
7,-516.31,200
8,-396.12000000000006,200
9,-320.96999999999997,200
10,-405.31999999999994,200
11,-294.8399999999999,200
12,-472.7199999999999,200
13,-229.66000000000008,200
14,-346.62,200
15,-379.1599999999999,200
16,-314.53000000000003,200
17,-318.82,200
18,-367.08000000000004,200
19,-522.4399999999999,200
20,-432.4100000000002,200
21,-632.9699999999997,200
22,-310.4799999999999,200
23,-550.8099999999998,200
24,-540.32,200
25,-533.1199999999997,200
26,-482.96999999999986,200
27,-368.16999999999996,200
28,-416.92000000000013,200
29,-500.73,200
30,-378.82,200
31,-383.42999999999995,200
32,-428.5600000000001,200
33,-528.44,200
34,-418.61000000000024,200
35,-188.76999999999992,200
36,-306.89,200
37,-464.1700000000001,200
38,-401.06000000000006,200
39,-408.99999999999994,200
40,-522.08,200
41,-262.37,200
42,-284.78999999999996,200
43,-270.3199999999999,200
44,-495.7199999999999,200
45,-568.8899999999999,200
46,-178.79999999999995,200
47,-243.24,200
48,-545.5300000000002,200
49,-262.87,200
50,-274.12000000000006,200
51,-491.97999999999996,200
52,-468.66000000000014,200
53,-404.16000000000014,200
54,-266.76000000000016,200
55,-453.7299999999999,200
56,-247.63,200
57,-388.18999999999994,200
58,-297.71000000000004,200
59,-192.1199999999999,200
60,-434.03,200
61,-465.81999999999994,200
62,-321.4700000000002,200
63,-491.4999999999999,200
64,-276.41999999999996,200
65,-250.45,200
66,-294.04,200
67,-265.45000000000005,200
68,-375.25,200
69,-421.8499999999999,200
70,-467.5699999999999,200
71,-242.82,200
72,-463.93999999999994,200
73,-362.06,200
74,-438.41,200
75,-309.3499999999999,200
76,-474.0799999999999,200
77,-198.72,200
78,-254.32999999999996,200
79,-332.7400000000001,200
80,-504.6499999999999,200
81,-409.94999999999993,200
82,-274.25000000000006,200
83,-534.6300000000001,200
84,-371.65,200
85,-404.74,200
86,-153.72000000000003,200
87,-38.63000000000001,200
88,-448.5100000000001,200
89,-470.2300000000001,200
90,-343.4,200
91,-116.63000000000002,200
92,-340.1900000000001,200
93,-487.55000000000007,200
94,-135.59000000000006,200
95,-290.63999999999993,200
96,-123.50999999999999,200
97,-275.24,200
98,-236.24,200
99,-271.69,200
100,-448.3099999999999,200
101,-353.3599999999999,200
102,-224.52999999999997,200
103,-351.59000000000003,200
104,-187.54999999999995,200
105,-175.84999999999997,200
106,-131.28000000000003,200
107,-8.009999999999996,200
108,-526.5000000000001,200
109,-248.59,200
110,-259.06999999999994,200
111,-382.41999999999985,200
112,-193.21000000000004,200
113,-357.8899999999999,200
114,-189.89000000000001,200
115,-525.4399999999997,200
116,-420.78999999999985,200
117,-27.18999999999999,200
118,-382.0600000000001,200
119,-228.32000000000008,200
120,-412.18,200
121,-508.6200000000001,200
122,-613.79,200
123,-451.4200000000002,200
124,-348.7500000000001,200
125,-250.89000000000001,200
126,-87.04000000000002,200
127,-107.08999999999999,200
128,-243.74999999999997,200
129,-30.870000000000005,200
130,-300.29999999999995,200
131,-580.6599999999999,200
132,-268.50999999999993,200
133,-51.099999999999994,200
134,-148.32000000000002,200
135,-24.639999999999997,200
136,-367.98000000000013,200
137,-316.1699999999999,200
138,-358.92000000000013,200
139,-119.81,200
140,-207.18999999999997,200
141,-30.86999999999999,200
142,-347.3400000000001,200
143,-364.37999999999994,200
144,-128.26000000000002,200
145,-285.15999999999997,200
146,-34.059999999999995,200
147,-368.6100000000001,200
148,-294.7899999999999,200
149,-83.15999999999998,200
150,-445.13,200
151,-13.380000000000008,200
152,-217.77000000000004,200
153,-13.93,200
154,-242.65000000000003,200
155,-26.020000000000003,200
156,-58.91,200
157,-299.03000000000003,200
158,-27.630000000000013,200
159,-299.34000000000003,200
160,-484.2399999999999,200
161,-7.109999999999999,200
162,-111.77000000000001,200
163,-151.32,200
164,-3.8099999999999925,200
165,-54.65999999999999,200
166,-247.11,200
167,-130.0,200
168,-257.21999999999997,200
169,-20.220000000000002,200
170,-74.46,200
171,-156.92000000000002,200
172,-104.30000000000003,200
173,-364.3,200
174,-7.839999999999992,200
175,-79.92000000000002,200
176,-68.24999999999999,200
177,-50.28,200
178,-24.13000000000001,200
179,-197.6,200
180,-207.06,200
181,-10.990000000000009,200
182,-14.160000000000004,200
183,-300.81999999999994,200
184,-5.679999999999999,200
185,-237.14000000000004,200
186,-7.680000000000007,200
187,-148.35,200
188,-6.540000000000007,200
189,-7.389999999999997,200
190,-49.09000000000002,200
191,-11.189999999999998,200
192,-144.48,200
193,-5.880000000000008,200
194,-297.34999999999985,200
195,-14.740000000000002,200
196,-84.30000000000003,200
197,-5.229999999999993,200
198,-52.87000000000001,200
199,-33.68999999999999,200
200,-8.149999999999999,200
201,-8.959999999999999,200
202,-5.159999999999998,200
203,-15.819999999999993,200
204,-8.769999999999989,200
205,-17.179999999999993,200
206,-11.030000000000001,200
207,-5.719999999999998,200
208,-14.479999999999993,200
209,-8.990000000000006,200
210,-4.200000000000001,200
211,-7.199999999999997,200
212,-131.02000000000004,200
213,-12.31999999999999,200
214,-13.759999999999993,200
215,-5.9900000000000135,200
216,-10.070000000000004,200
217,-3.2500000000000018,200
218,-6.830000000000008,200
219,-8.340000000000009,200
220,-7.150000000000002,200
221,-1.1899999999999944,200
222,-5.700000000000001,200
223,-10.449999999999996,200
224,-0.9199999999999986,200
225,-1.4400000000000017,200
226,-10.220000000000008,200
227,-3.600000000000004,200
228,-3.209999999999996,200
229,-2.8199999999999994,200
230,-3.0800000000000027,200
231,-3.7799999999999963,200
232,-9.320000000000007,200
233,-8.449999999999996,200
234,-4.049999999999999,200
235,-3.640000000000002,200
236,-19.91999999999999,200
237,-2.369999999999999,200
238,-1.0299999999999945,200
239,-5.4999999999999964,200
240,-22.52000000000001,200
241,-6.020000000000003,200
242,-9.600000000000003,200
243,-5.519999999999999,200
244,-2.1700000000000044,200
245,-5.450000000000013,200
246,-4.199999999999999,200
247,-19.629999999999995,200
248,-2.0800000000000094,200
249,-6.329999999999995,200
250,-1.6200000000000054,200
251,-1.63,200
252,-3.4699999999999998,200
253,-11.170000000000002,200
254,-2.7799999999999985,200
255,-2.1499999999999977,200
256,-73.88000000000001,200
257,-5.150000000000004,200
258,-1.829999999999997,200
259,-260.2099999999999,200
260,-3.370000000000003,200
261,-12.860000000000008,200
262,-5.870000000000003,200
263,-4.0200000000000005,200
264,-3.470000000000003,200
265,-1.880000000000006,200
266,-5.8999999999999995,200
267,-1.7400000000000027,200
268,-2.439999999999997,200
269,-3.410000000000009,200
270,-1.9600000000000002,200
271,-1.4699999999999942,200
272,-5.670000000000002,200
273,-1.9400000000000008,200
274,-4.7500000000000036,200
275,-2.440000000000002,200
276,-3.389999999999995,200
277,-2.8000000000000003,200
278,-1.0100000000000025,200
279,-5.329999999999999,200
280,-11.269999999999996,200
281,-1.7499999999999996,200
282,-4.0400000000000045,200
283,-0.7200000000000071,200
284,-3.51,200
285,-3.1199999999999997,200
286,-1.3399999999999985,200
287,-1.9400000000000006,200
288,-1.9100000000000028,200
289,-1.06,200
290,-1.9399999999999968,200
291,-1.7500000000000027,200
292,-1.170000000000003,200
293,-2.9200000000000004,200
294,-3.5800000000000023,200
295,-0.7799999999999935,200
296,-1.619999999999997,200
297,-6.079999999999998,200
298,-1.6399999999999968,200
299,-1.8300000000000014,200
300,-3.1800000000000024,200
301,-1.1299999999999986,200
302,-0.6099999999999988,200
303,-0.9699999999999989,200
304,-0.3900000000000031,200
305,-0.7699999999999984,200
306,-1.239999999999992,200
307,-1.9600000000000057,200
308,-0.6000000000000014,200
309,-2.4999999999999996,200
310,-0.520000000000002,200
311,-1.5199999999999978,200
312,-1.2099999999999924,200
313,-0.8899999999999976,200
314,-1.33,200
315,-2.4600000000000004,200
316,-4.4,200
317,-1.2400000000000009,200
318,-1.9099999999999997,200
319,-1.2299999999999998,200
320,-0.46000000000000013,200
321,-6.250000000000001,200
322,-1.410000000000001,200
323,-1.4299999999999988,200
324,-4.240000000000001,200
325,-1.0900000000000007,200
326,-1.2099999999999986,200
327,-0.9299999999999999,200
328,-1.6100000000000003,200
329,-0.41999999999999793,200
330,-0.45999999999999996,200
331,-4.380000000000002,200
332,-0.8100000000000009,200
333,-1.0600000000000023,200
334,-0.9900000000000035,200
335,-1.5500000000000003,200
336,-1.3899999999999983,200
337,-1.3900000000000006,200
338,-1.460000000000001,200
339,-0.6899999999999997,200
340,-1.93,200
341,-1.0199999999999991,200
342,-1.5700000000000003,200
343,-1.5099999999999978,200
344,-3.5599999999999987,200
345,-0.5199999999999994,200
346,-0.21999999999999864,200
347,-0.6600000000000008,200
348,-7.57,200
349,-0.9500000000000016,200
350,-0.3600000000000009,200
351,-2.309999999999999,200
352,-2.2300000000000013,200
353,-2.6399999999999983,200
354,-0.7899999999999993,200
355,-0.420000000000001,200
356,-1.480000000000001,200
357,-1.5299999999999998,200
358,-1.2799999999999998,200
359,-1.460000000000001,200
360,-1.1299999999999977,200
361,-0.6200000000000001,200
362,-1.4899999999999993,200
363,-0.38000000000000156,200
364,-1.6999999999999997,200
365,-0.09999999999999937,200
366,-1.18,200
367,-2.420000000000002,200
368,-0.2099999999999991,200
369,-0.7000000000000013,200
370,-0.6499999999999996,200
371,-0.4000000000000002,200
372,-2.119999999999999,200
373,-1.6800000000000042,200
374,-0.55,200
375,-1.0799999999999998,200
376,-0.8299999999999974,200
377,-1.9799999999999993,200
378,-0.9699999999999998,200
379,-0.5999999999999998,200
380,-0.5999999999999994,200
381,-1.140000000000001,200
382,-0.29999999999999993,200
383,-1.3400000000000016,200
384,-0.3200000000000015,200
385,-0.3199999999999983,200
386,-0.4700000000000009,200
387,-0.4299999999999995,200
388,-2.439999999999999,200
389,-0.23999999999999777,200
390,-0.8499999999999995,200
391,-1.1200000000000008,200
392,-2.6,200
393,-1.2299999999999993,200
394,-1.0799999999999979,200
395,-0.23000000000000073,200
396,-0.2500000000000009,200
397,-0.34999999999999937,200
398,-0.5500000000000024,200
399,-1.0600000000000016,200
400,-1.4599999999999993,200
401,-0.18000000000000133,200
402,-1.9800000000000013,200
403,-0.6399999999999996,200
404,-0.46000000000000096,200
405,-0.6200000000000021,200
406,-0.4799999999999991,200
407,-0.81,200
408,-0.8300000000000013,200
409,-0.8500000000000005,200
410,-0.199999999999999,200
411,-1.4100000000000015,200
412,-0.3499999999999994,200
413,-0.2699999999999992,200
414,-1.0099999999999982,200
415,-0.2399999999999993,200
416,-0.38999999999999935,200
417,-0.3599999999999992,200
418,-0.8999999999999998,200
419,-0.7499999999999994,200
420,-0.29000000000000087,200
421,-0.09000000000000022,200
422,-0.4399999999999998,200
423,-0.5400000000000001,200
424,-0.4600000000000014,200
425,-0.29999999999999905,200
426,-0.10000000000000026,200
427,-0.5999999999999999,200
428,-0.5799999999999994,200
429,-0.8799999999999994,200
430,-0.6700000000000016,200
431,-1.0499999999999994,200
432,-0.1999999999999994,200
433,-1.06,200
434,-0.2500000000000002,200
435,-1.2599999999999998,200
436,-0.10000000000000034,200
437,-1.1,200
438,-0.5599999999999994,200
439,-1.2800000000000011,200
440,-1.0099999999999998,200
441,-1.06,200
442,-0.4599999999999992,200
443,-0.8699999999999998,200
444,-0.3599999999999998,200
445,-1.1899999999999995,200
446,-0.0899999999999995,200
447,-0.30999999999999817,200
448,-0.6700000000000006,200
449,-0.5199999999999996,200
450,-0.760000000000001,200
451,-1.0400000000000005,200
452,-0.6399999999999997,200
453,-0.3300000000000002,200
454,-2.190000000000001,200
455,-0.7100000000000005,200
456,-0.3200000000000014,200
457,-0.43999999999999967,200
458,-0.36,200
459,-0.31999999999999934,200
460,-0.4300000000000014,200
461,-0.3599999999999993,200
462,-0.4599999999999992,200
463,-0.22999999999999954,200
464,-0.74,200
465,-0.4200000000000005,200
466,-0.22000000000000075,200
