episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
253919195995840692,200,-386.8400000000002,-121.82,-87.58,-83.83,-93.61
66175329439319301,200,-540.2400000000002,-135.58,-143.45,-138.25,-122.96
685581875545323686,200,-492.1199999999999,-144.29,-111.23,-118.18,-118.42
433083224620834328,200,-287.7099999999999,-91.38,-71.95,-55.65,-68.73
805806156426503282,200,-535.59,-135.89,-142.69,-124.33,-132.68
973586460183719718,200,-407.39,-97.3,-100.05,-119.78,-90.26
107559426694637753,200,-471.8200000000002,-92.15,-126.83,-131.07,-121.77
653098216490754379,200,-516.1900000000002,-142.63,-134.02,-118.65,-120.89
218142915502571095,200,-543.8000000000001,-121.29,-157.02,-153.25,-112.24
977954383331425203,200,-613.3099999999995,-148.84,-162.41,-147.93,-154.13
412722046908844249,200,-274.8999999999998,-66.5,-63.32,-71.18,-73.9
331816212416406624,200,-560.6500000000004,-156.27,-159.64,-121.66,-123.08
876075919912923680,200,-615.4299999999996,-142.54,-140.54,-146.86,-185.49
219816445065202308,200,-324.5900000000004,-79.4,-81.99,-81.28,-81.92
30265180028070981,200,-302.36999999999995,-89.74,-64.02,-57.0,-91.61
755154531629042034,200,-332.99,-104.63,-77.58,-69.43,-81.35
841997258858077862,200,-362.98999999999984,-77.85,-103.7,-86.67,-94.77
190057892495091883,200,-330.9400000000002,-85.44,-87.01,-77.01,-81.48
138613751672970174,200,-427.1599999999999,-112.83,-108.83,-101.42,-104.08
507155367989256054,200,-365.0299999999995,-87.11,-87.44,-103.05,-87.43
324103418467152591,200,-460.4400000000003,-101.29,-135.81,-124.06,-99.28
844163597925031096,200,-524.7100000000004,-125.74,-143.64,-135.57,-119.76
133783279937845485,200,-546.6199999999999,-141.78,-110.66,-143.08,-151.1
616860796985801604,200,-311.07999999999987,-89.25,-96.29,-59.62,-65.92
878948626498807372,200,-408.4699999999999,-94.27,-96.8,-111.7,-105.7
4020742754937258,200,-386.4300000000002,-110.12,-102.56,-90.46,-83.29
587444046501261185,200,-525.7600000000001,-129.83,-146.69,-128.96,-120.28
417575452457829286,200,-263.2299999999998,-78.69,-65.42,-58.98,-60.14
333342033572402793,200,-142.21999999999997,-36.71,-43.96,-28.72,-32.83
37710151610233111,200,-429.96000000000015,-108.66,-104.62,-113.49,-103.19
36152653210735021,200,-625.2200000000004,-149.68,-170.94,-137.68,-166.92
100746441095226468,200,-503.58999999999986,-136.6,-112.12,-131.76,-123.11
787928587513337907,200,-439.4500000000001,-91.99,-127.06,-120.92,-99.48
808083701024752483,200,-540.1799999999998,-141.57,-134.73,-136.34,-127.54
618459199107901532,200,-330.2100000000002,-95.26,-98.54,-76.43,-59.98
562163453939863349,200,-484.6700000000001,-123.54,-117.26,-125.1,-118.77
971460958434085930,200,-491.2399999999997,-129.76,-125.63,-119.66,-116.19
268665674520215514,200,-429.1500000000002,-129.43,-105.32,-102.07,-92.33
396113472432924379,200,-394.5000000000001,-94.28,-106.52,-109.85,-83.85
54266237303390982,200,-264.52999999999975,-82.36,-55.12,-69.53,-57.52
714747939198958842,200,-261.3699999999998,-88.44,-57.12,-47.67,-68.14
957026324429680671,200,-208.97000000000014,-80.54,-45.43,-37.46,-45.54
550608584988179434,200,-101.07000000000005,-23.27,-39.42,-20.98,-17.4
777737040316498967,200,-158.84000000000003,-39.22,-48.67,-38.96,-31.99
729598169910002105,200,-128.21000000000006,-64.05,-16.05,-20.1,-28.01
848454331737928584,200,-25.130000000000027,-9.86,-8.01,-1.23,-6.03
867103961252880119,200,-99.71999999999997,-26.18,-31.06,-18.39,-24.09
840660870037364412,200,-275.71000000000004,-76.12,-61.52,-58.89,-79.18
430670315269288053,200,-276.06999999999965,-91.8,-65.26,-44.09,-74.92
533730637854399512,200,-204.49000000000007,-64.58,-52.0,-46.36,-41.55
814187622770164755,200,-198.09999999999994,-64.67,-55.09,-38.62,-39.72
378401247714548564,200,-169.67000000000002,-58.62,-34.83,-42.74,-33.48
631357925943707545,200,-234.68999999999988,-94.91,-57.78,-37.21,-44.79
676559231935665808,200,-322.03999999999974,-86.3,-92.32,-77.51,-65.91
447870052038123435,200,-484.76,-116.56,-133.37,-129.11,-105.72
564189529366054828,200,-260.83000000000004,-55.99,-64.61,-82.35,-57.88
